year DOY HR MN      v     d      beta     ma 
2018  75  0  0   482.8   4.80   1.47   9.4
2018  75  0  1   477.3   5.13   1.68   9.7
2018  75  0  2   478.6   5.09   1.67   9.7
2018  75  0  3   480.8   5.04   1.55   9.6
2018  75  0  4   470.2   5.57   1.77   9.9
2018  75  0  5   482.1   5.24   1.78  10.2
2018  75  0  6 99999.9 999.99 999.99 999.9
2018  75  0  7 99999.9 999.99 999.99 999.9
2018  75  0  8   492.1   3.21   0.81   8.2
2018  75  0  9   492.1   3.21   0.80   8.1
2018  75  0 10   492.1   3.21   0.78   8.0
2018  75  0 11   467.3   6.92   1.64  10.9
2018  75  0 12   467.3   6.92   1.59  10.7
2018  75  0 13   464.7   4.56   1.30   8.6
2018  75  0 14   464.7   4.56   1.31   8.6
2018  75  0 15 99999.9 999.99 999.99 999.9
2018  75  0 16   464.0   4.61   1.40   8.7
2018  75  0 17   464.0   4.61   1.39   8.6
2018  75  0 18   466.2   5.35   1.66   9.4
2018  75  0 19   466.9   5.31   1.68   9.4
2018  75  0 20   471.4   5.28   1.83   9.6
2018  75  0 21   473.8   5.55   1.94   9.8
2018  75  0 22   473.8   5.55   1.92   9.8
2018  75  0 23 99999.9 999.99 999.99 999.9
2018  75  0 24   465.1   5.57   1.75   9.6
2018  75  0 25   465.6   5.48   1.75   9.6
2018  75  0 26   470.7   4.76   1.50   9.2
2018  75  0 27   471.7   4.98   1.51   9.5
2018  75  0 28 99999.9 999.99 999.99 999.9
2018  75  0 29   470.9   5.38   1.73   9.9
2018  75  0 30   471.9   5.32   1.83  10.0
2018  75  0 31   474.3   5.16   1.96  10.1
2018  75  0 32 99999.9 999.99 999.99 999.9
2018  75  0 33 99999.9 999.99 999.99 999.9
2018  75  0 34   475.7   4.85   1.62   9.7
2018  75  0 35   475.7   4.85   1.65   9.8
2018  75  0 36 99999.9 999.99 999.99 999.9
2018  75  0 37   460.4   5.85   2.75  10.9
2018  75  0 38   467.2   5.44   2.47  10.7
2018  75  0 39   474.3   5.20   2.21  10.6
2018  75  0 40   474.8   5.31   2.19  10.6
2018  75  0 41   474.0   4.98   1.89  10.0
2018  75  0 42   474.0   4.98   1.93  10.1
2018  75  0 43   476.5   5.44   2.08  10.5
2018  75  0 44   479.1   5.23   1.94  10.4
2018  75  0 45   480.6   5.11   1.88  10.4
2018  75  0 46   469.9   5.76   2.35  10.7
2018  75  0 47   470.4   5.49   2.26  10.8
2018  75  0 48   475.6   5.41   2.25  11.0
2018  75  0 49   470.8   5.39   2.12  10.5
2018  75  0 50   468.1   5.34   1.99  10.1
2018  75  0 51 99999.9 999.99 999.99 999.9
2018  75  0 52 99999.9 999.99 999.99 999.9
2018  75  0 53 99999.9 999.99 999.99 999.9
2018  75  0 54   477.1   5.77   2.52  11.4
2018  75  0 55   477.1   5.77   2.47  11.3
2018  75  0 56   470.3   6.14   2.86  11.6
2018  75  0 57   484.0   5.12   2.05  11.1
2018  75  0 58   490.8   4.62   1.57  10.3
2018  75  0 59   493.3   4.39   1.21   9.8
2018  75  1  0   493.0   4.43   1.14   9.5
2018  75  1  1   489.6   4.85   1.21   9.5
2018  75  1  2   491.4   4.61   1.14   9.0
2018  75  1  3   492.8   4.43   1.25   9.3
2018  75  1  4   492.8   4.43   1.12   8.9
2018  75  1  5   488.4   4.13   1.04   8.6
2018  75  1  6   488.4   4.22   1.26   9.4
2018  75  1  7   488.2   5.31   1.79  10.6
2018  75  1  8   488.2   5.31   1.76  10.5
2018  75  1  9   485.3   5.16   1.61   9.9
2018  75  1 10   485.3   5.16   1.59   9.9
2018  75  1 11   483.7   5.15   1.43   9.9
2018  75  1 12   483.6   5.15   1.31   9.5
2018  75  1 13   484.8   5.44   1.52   9.9
2018  75  1 14   486.3   5.78   1.77  10.3
2018  75  1 15   486.3   5.78   1.72  10.1
2018  75  1 16   477.2   5.68   1.69   9.9
2018  75  1 17   477.2   5.68   1.64   9.7
2018  75  1 18   480.3   5.25   1.33   9.4
2018  75  1 19   480.4   5.24   1.34   9.4
2018  75  1 20 99999.9 999.99 999.99 999.9
2018  75  1 21   482.7   4.99   1.28   9.0
2018  75  1 22   482.5   4.92   1.20   8.7
2018  75  1 23   482.3   4.85   1.14   8.6
2018  75  1 24   483.6   5.23   1.31   9.1
