year DOY HR MN      v     d      beta     ma
2020  78  0  0   381.5   4.42   2.10   9.8
2020  78  0  1 99999.9 999.99 999.99 999.9
2020  78  0  2 99999.9 999.99 999.99 999.9
2020  78  0  3 99999.9 999.99 999.99 999.9
2020  78  0  4 99999.9 999.99 999.99 999.9
2020  78  0  5 99999.9 999.99 999.99 999.9
2020  78  0  6 99999.9 999.99 999.99 999.9
2020  78  0  7   391.3   3.77   1.84   8.4
2020  78  0  8   393.2   3.67   1.65   8.3
2020  78  0  9   394.0   3.63   1.50   8.0
2020  78  0 10 99999.9 999.99 999.99 999.9
2020  78  0 11   397.7   3.97   1.87   8.7
2020  78  0 12   397.7   3.97   1.92   8.8
2020  78  0 13   397.7   3.97   1.92   8.8
2020  78  0 14 99999.9 999.99 999.99 999.9
2020  78  0 15   396.5   4.02   1.85   8.7
2020  78  0 16   396.5   4.02   1.96   9.0
2020  78  0 17 99999.9 999.99 999.99 999.9
2020  78  0 18 99999.9 999.99 999.99 999.9
2020  78  0 19 99999.9 999.99 999.99 999.9
2020  78  0 20 99999.9 999.99 999.99 999.9
2020  78  0 21   393.0   4.09   2.29   9.2
2020  78  0 22   393.0   4.09   2.25   9.1
2020  78  0 23 99999.9 999.99 999.99 999.9
2020  78  0 24   390.4   4.13   2.36   9.1
2020  78  0 25   390.4   4.13   2.36   9.1
2020  78  0 26   390.2   4.10   2.23   9.1
2020  78  0 27   392.9   4.13   2.31   9.2
2020  78  0 28   393.3   4.14   2.19   9.0
2020  78  0 29   395.1   3.94   2.04   8.9
2020  78  0 30   395.1   3.94   2.11   9.0
2020  78  0 31 99999.9 999.99 999.99 999.9
2020  78  0 32   394.6   3.82   2.24   9.8
2020  78  0 33   394.6   3.82   2.24   9.8
2020  78  0 34 99999.9 999.99 999.99 999.9
2020  78  0 35 99999.9 999.99 999.99 999.9
2020  78  0 36   386.2   4.21   2.29  10.0
2020  78  0 37   386.2   4.21   2.44  10.4
2020  78  0 38   387.4   4.77   2.90  11.1
2020  78  0 39   387.4   4.77   3.06  11.4
2020  78  0 40 99999.9 999.99 999.99 999.9
2020  78  0 41   381.3   4.21   2.39  10.4
2020  78  0 42   381.3   4.21   2.42  10.5
2020  78  0 43 99999.9 999.99 999.99 999.9
2020  78  0 44   384.2   4.44   2.71  10.9
2020  78  0 45   384.2   4.44   2.71  10.9
2020  78  0 46   384.2   4.44   2.65  10.8
2020  78  0 47   383.7   4.59   2.74  11.0
2020  78  0 48   383.7   4.59   2.76  11.0
2020  78  0 49   383.7   4.59   2.73  10.9
2020  78  0 50   385.4   4.81   2.76  10.8
2020  78  0 51   385.5   4.81   2.57  10.4
2020  78  0 52   389.2   4.71   2.88  10.5
2020  78  0 53   389.3   4.70   2.56   9.9
2020  78  0 54   394.9   4.27   2.03   9.4
2020  78  0 55   394.7   4.27   2.12   9.4
2020  78  0 56 99999.9 999.99 999.99 999.9
2020  78  0 57 99999.9 999.99 999.99 999.9
2020  78  0 58 99999.9 999.99 999.99 999.9
2020  78  0 59 99999.9 999.99 999.99 999.9
2020  78  1  0   396.6   4.44   2.24  10.3
2020  78  1  1   394.7   4.69   2.36  10.3
2020  78  1  2   393.1   4.89   2.75  11.0
2020  78  1  3 99999.9 999.99 999.99 999.9
2020  78  1  4 99999.9 999.99 999.99 999.9
2020  78  1  5 99999.9 999.99 999.99 999.9
2020  78  1  6   389.4   4.74   2.59  10.4
2020  78  1  7   389.4   4.74   2.54  10.3
2020  78  1  8   389.0   4.32   2.19   9.9
2020  78  1  9   388.7   3.95   1.94   9.5
2020  78  1 10   390.6   4.75   2.61  10.5
2020  78  1 11   388.9   4.36   2.10  10.0
2020  78  1 12   387.7   4.04   1.75   9.5
2020  78  1 13   386.5   4.26   1.79   9.7
2020  78  1 14   386.5   4.26   1.86   9.9
2020  78  1 15 99999.9 999.99 999.99 999.9
2020  78  1 16   392.4   4.51   2.39  10.2
2020  78  1 17   392.4   4.51   2.44  10.3
2020  78  1 18   393.2   5.16   2.87  11.0
2020  78  1 19   393.2   5.16   2.91  11.1
2020  78  1 20   393.2   5.16   2.85  11.0
2020  78  1 21 99999.9 999.99 999.99 999.9
2020  78  1 22   386.4   4.48   2.28  10.3
2020  78  1 23   386.0   4.42   2.42  10.6
2020  78  1 24   383.5   4.05   2.11  10.1
2020  78  1 25   383.5   4.05   2.16  10.2
2020  78  1 26 99999.9 999.99 999.99 999.9
2020  78  1 27 99999.9 999.99 999.99 999.9
2020  78  1 28 99999.9 999.99 999.99 999.9
2020  78  1 29 99999.9 999.99 999.99 999.9
2020  78  1 30   378.9   4.65   2.65  10.7
2020  78  1 31   381.0   4.69   2.39  10.4
2020  78  1 32   385.7   4.59   2.17  10.1
2020  78  1 33   386.0   4.57   2.15  10.0
2020  78  1 34 99999.9 999.99 999.99 999.9
2020  78  1 35 99999.9 999.99 999.99 999.9
2020  78  1 36 99999.9 999.99 999.99 999.9
2020  78  1 37 99999.9 999.99 999.99 999.9
2020  78  1 38   385.4   4.07   1.97   9.3
2020  78  1 39   385.4   4.07   1.96   9.3
2020  78  1 40   385.4   4.07   1.99   9.4
2020  78  1 41 99999.9 999.99 999.99 999.9
2020  78  1 42 99999.9 999.99 999.99 999.9
2020  78  1 43 99999.9 999.99 999.99 999.9
2020  78  1 44   385.3   4.66   2.18  10.0
2020  78  1 45   385.4   4.64   2.22  10.1
2020  78  1 46   390.3   4.55   2.03   9.5
2020  78  1 47   388.3   4.55   2.07   9.7
2020  78  1 48   384.6   4.73   2.17   9.9
2020  78  1 49 99999.9 999.99 999.99 999.9
2020  78  1 50   397.9   4.40   1.80   9.4
2020  78  1 51   391.2   4.49   1.92   9.5
2020  78  1 52   388.5   4.66   2.19   9.7
2020  78  1 53   392.4   4.44   2.26   9.7
2020  78  1 54   383.7   4.58   2.04   9.7
2020  78  1 55   383.7   4.58   1.92   9.4
2020  78  1 56   389.4   3.41   1.53   8.4
2020  78  1 57   389.4   3.41   1.39   8.0
2020  78  1 58   382.8   4.59   1.87   9.1
2020  78  1 59   382.8   4.59   1.65   8.6
2020  78  2  0   387.8   4.12   1.79   8.9
2020  78  2  1   387.8   4.12   1.53   8.2
2020  78  2  2 99999.9 999.99 999.99 999.9
2020  78  2  3   396.6   4.33   1.75   9.1
2020  78  2  4   393.1   4.45   1.96   9.6
2020  78  2  5   390.0   4.28   1.85   9.4
2020  78  2  6   389.9   4.30   1.95   9.5
2020  78  2  7   389.3   4.41   2.07   9.7
2020  78  2  8   386.5   4.47   2.23  10.0
2020  78  2  9   386.6   4.44   2.17   9.9
2020  78  2 10   384.2   4.60   2.20   9.9
2020  78  2 11   385.7   4.71   2.34  10.2
2020  78  2 12   385.9   4.63   2.27  10.1
2020  78  2 13   384.4   4.57   1.96   9.6
2020  78  2 14   387.6   4.61   2.07   9.7
2020  78  2 15 99999.9 999.99 999.99 999.9
2020  78  2 16   389.9   5.36   2.72  11.5
2020  78  2 17   387.4   5.10   2.95  11.7
2020  78  2 18   388.3   5.22   2.61  10.8
2020  78  2 19   390.1   5.42   2.58  10.7
2020  78  2 20   390.5   3.38   1.65   8.9
2020  78  2 21   390.9   3.98   1.92   9.4
2020  78  2 22   391.8   5.30   2.53  10.5
2020  78  2 23   391.9   3.64   1.50   8.6
2020  78  2 24   392.0   4.09   1.73   9.2
2020  78  2 25   392.0   4.44   1.76   9.3
2020  78  2 26   393.6   4.56   2.33   9.5
2020  78  2 27   393.6   4.56   2.36   9.5
2020  78  2 28   393.1   4.54   2.56  10.0
2020  78  2 29   389.1   4.36   1.73   9.2
2020  78  2 30   388.5   4.27   1.51   8.5
2020  78  2 31   387.2   4.02   1.38   8.1
2020  78  2 32   390.5   4.20   1.41   8.4
2020  78  2 33   390.5   4.20   1.36   8.2
2020  78  2 34   390.5   4.20   1.36   8.2
2020  78  2 35   388.8   3.86   1.25   7.8
2020  78  2 36   388.8   3.86   1.28   7.9
2020  78  2 37 99999.9 999.99 999.99 999.9
2020  78  2 38   390.0   4.56   1.76   8.8
2020  78  2 39   390.0   4.56   1.74   8.8
2020  78  2 40 99999.9 999.99 999.99 999.9
2020  78  2 41 99999.9 999.99 999.99 999.9
2020  78  2 42   381.4   4.79   1.82   8.8
2020  78  2 43   381.4   4.79   1.85   8.9
2020  78  2 44   381.4   4.79   1.99   9.2
2020  78  2 45   386.6   4.38   1.57   8.8
2020  78  2 46   384.6   4.76   2.28  10.2
2020  78  2 47   383.2   5.02   2.13   9.6
2020  78  2 48   387.0   4.45   1.84   9.2
2020  78  2 49   387.0   4.45   1.76   9.0
2020  78  2 50 99999.9 999.99 999.99 999.9
2020  78  2 51 99999.9 999.99 999.99 999.9
2020  78  2 52 99999.9 999.99 999.99 999.9
